time,open,high,low,close
1772269200,105.61,106.36,105.13,105.57
1772272800,105.56,106.74,104.7,106.07
1772276400,106.06,106.89,105.83,106
1772280000,106.01,106.99,105.99,106.24
1772283600,106.23,109.11,105.96,109.01
1772287200,109.02,109.71,106.9,107.2
1772290800,107.22,108.38,106.63,107.61
1772294400,107.61,108.37,107.06,108.23
1772298000,108.23,108.59,107.1,108.38
1772301600,108.37,110.91,107.98,110.16
1772305200,110.16,111.64,109.34,110.92
1772308800,110.92,112.55,110.57,112.24
1772312400,112.25,112.39,110.66,111.33
1772316000,111.34,113.69,111.3,112.4
1772319600,112.41,112.71,111.78,111.94
1772323200,111.94,112.28,111.47,112
1772326800,111.99,115.9,110.79,115.89
1772330400,115.89,118.71,115.89,116.66
1772334000,116.65,117.01,115.63,116.25
1772337600,116.26,116.79,114.83,115.88
1772341200,115.89,116.26,115.52,115.78
1772344800,115.78,115.82,113.94,114.54
1772348400,114.55,115.47,114.18,115.35
1772352000,115.36,115.98,114.16,114.38
1772355600,114.42,115.87,113.77,113.97
1772359200,113.96,114.1,112.66,113.13
1772362800,113.14,113.64,112.98,113.11
1772366400,113.1,113.74,112.74,112.82
1772370000,112.83,115.73,112.3,115.05
1772373600,115.05,116.19,113.96,114.3
1772377200,114.3,116.26,114.19,115.1
1772380800,115.11,116.34,113.38,114.15
1772384400,114.13,114.24,112.21,112.96
1772388000,112.95,115.24,112.89,114.02
1772391600,114.03,114.04,112.53,112.71
1772395200,112.7,112.75,110.63,111.08
1772398800,111.1,112.53,111.05,112.18
1772402400,112.18,114.46,112.05,112.22
1772406000,112.21,114.84,112,113.68
1772409600,113.64,116.06,113.48,114.66
1772413200,114.67,116.6,114.55,115.11
1772416800,115.12,115.55,113.56,114.39
1772420400,114.4,116.4,113.84,116.32
1772424000,116.32,116.5,115.35,115.68
1772427600,115.68,116.5,114.82,115.71
1772431200,115.72,115.73,113.63,114.18
1772434800,114.17,114.2,112.62,113.29
1772438400,113.29,114.49,112.22,114.31
1772442000,114.32,115.3,114.08,114.75
1772445600,114.74,115.27,114.54,115.13
1772449200,115.12,115.2,114.17,114.63
1772452800,114.63,114.95,113.88,114.09
1772456400,114.09,115.01,113.83,114.04
1772460000,114.04,118.12,113.72,118.11
1772463600,118.1,123.94,117.89,122.94
1772467200,122.93,126.96,122.46,124.54
1772470800,124.53,124.65,122.64,123.82
1772474400,123.8,124.89,123.51,124.09
1772478000,124.09,124.48,123.2,123.51
1772481600,123.49,124.23,122.14,122.39
1772485200,122.4,122.46,121.14,122.35
1772488800,122.36,125,122.36,124.03
1772492400,124.03,124.03,122.08,122.21
1772496000,122.2,123.01,121.41,121.83
1772499600,121.82,122.13,120.82,121.09
1772503200,121.09,121.14,119.56,120.71
1772506800,120.71,120.79,119.55,119.88
1772510400,119.89,120.35,119.17,119.31
1772514000,119.31,120.13,118.96,119.42
1772517600,119.43,119.94,119.11,119.74
1772521200,119.74,120.61,119.48,119.83
1772524800,119.83,120.13,117.48,117.81
1772528400,117.81,118.81,116.84,116.95
1772532000,116.94,117.07,113.33,113.39
1772535600,113.42,113.42,110.82,111.8
1772539200,111.79,113.1,111.65,112.06
1772542800,112.07,112.17,109.58,109.91
1772546400,109.88,110.98,108.43,109.18
1772550000,109.17,110.46,108.49,109.99
1772553600,109.99,111.84,108.59,110.42
1772557200,110.43,110.62,108.53,109.79
1772560800,109.8,111.09,108.64,110.17
1772564400,110.18,110.39,108.89,109.9
1772568000,109.9,110.17,108.69,108.86
1772571600,108.86,109.62,107.9,109.26
1772575200,109.27,112.26,109.27,111.58
1772578800,111.57,112.77,111,111.16
1772582400,111.16,111.17,109.3,110.31
1772586000,110.33,111.52,110.04,110.59
1772589600,110.58,110.98,109.69,110.83
1772593200,110.82,111.05,109.47,111.04
1772596800,111.03,111.45,110.37,110.65
1772600400,110.64,111.54,110.04,111.06
1772604000,111.06,112.03,110.77,111.82
1772607600,111.81,112.8,111.29,112.71
1772611200,112.72,114.91,112.19,114.5
1772614800,114.5,116.05,113.63,115.14
1772618400,115.14,115.66,114.27,114.8
1772622000,114.78,116.03,114.76,115.78
1772625600,115.77,116.31,112.95,113.66
1772629200,113.65,115.78,113.58,114.91
1772632800,114.9,116.87,113.9,114.64
1772636400,114.63,118.21,114.61,118.1
1772640000,118.1,118.91,116.68,117.41
1772643600,117.43,118.02,116.6,117.13
1772647200,117.12,117.69,116.25,117.15
1772650800,117.16,118.77,117.09,117.62
1772654400,117.63,118.6,117.26,117.34
1772658000,117.34,117.41,116.28,116.97
1772661600,116.97,117.64,115.42,115.59
1772665200,115.58,116.21,114.91,115.86
1772668800,115.88,117.04,115.74,116.12
1772672400,116.1,117.02,115.19,115.54
1772676000,115.55,116.88,115.55,115.98
1772679600,115.98,116.38,115.12,115.55
1772683200,115.55,116.41,115.43,116
1772686800,115.97,116.35,115.28,115.52
1772690400,115.52,116.05,114.57,115.84
1772694000,115.85,116.21,114.28,114.47
1772697600,114.48,116.08,114.07,115.83
1772701200,115.83,117.4,115.78,116.82
1772704800,116.8,118.8,116.55,118.3
1772708400,118.3,118.63,117.56,117.75
1772712000,117.74,118.42,117.26,118.12
1772715600,118.13,118.16,116.54,117.53
1772719200,117.54,119.09,117.31,118.62
1772722800,118.63,118.76,116.16,116.49
1772726400,116.5,116.54,114,115.49
1772730000,115.51,116.3,114.55,115.1
1772733600,115.09,118.63,115.02,117.88
1772737200,117.88,119.89,117.68,118.72
1772740800,118.72,119.74,118.23,118.62
1772744400,118.62,119.8,117.74,118
1772748000,118.01,118.05,116.65,116.94
1772751600,116.94,117.46,116.62,116.82
1772755200,116.82,117.49,116.35,117.13
1772758800,117.13,118.32,116.51,117.95
1772762400,117.97,118.51,117.29,117.72
1772766000,117.72,118.46,117.55,118.36
1772769600,118.36,118.6,116.89,117.27
1772773200,117.28,117.78,116.61,117.22
1772776800,117.21,117.94,117.14,117.52
1772780400,117.51,118.54,117.24,118.49
1772784000,118.5,118.56,117.54,117.78
1772787600,117.79,117.85,115.7,116.22
1772791200,116.22,116.76,116.01,116.04
1772794800,116.03,116.09,114.37,114.5
1772798400,114.49,115.08,113.67,114.22
1772802000,114.21,115.03,112.57,112.6
1772805600,112.59,113.2,109.91,110.38
1772809200,110.38,112.29,110.32,110.89
1772812800,110.88,111.16,109.95,110.43
1772816400,110.42,111.42,109.29,110.17
1772820000,110.16,111.07,110.13,110.92
1772823600,110.94,111.73,110.94,111.37
1772827200,111.37,111.7,110.58,111.62
1772830800,111.61,112.06,111.14,111.95
1772834400,111.99,112.1,111.26,111.33
1772838000,111.32,111.37,110.85,110.98
1772841600,110.98,111.38,110.81,110.99
1772845200,110.98,111.06,110.63,110.77
1772848800,110.79,111.1,110.53,111.06
1772852400,111.05,111.47,110.18,110.32
1772856000,110.32,110.45,109.83,110.18
1772859600,110.18,110.65,110.13,110.33
1772863200,110.32,110.32,109.52,109.68
1772866800,109.69,110.27,109.54,110.26
1772870400,110.25,110.9,110.21,110.34
1772874000,110.33,110.64,110.09,110.49
1772877600,110.5,110.58,110,110.04
1772881200,110.03,110.77,109.82,110.02
1772884800,110.02,110.2,109.64,109.72
1772888400,109.73,110.07,109.65,110.04
1772892000,110.04,110.47,109.57,110.14
1772895600,110.13,110.37,109.4,109.76
1772899200,109.76,109.83,109.36,109.57
1772902800,109.57,110.13,109.52,109.73
1772906400,109.72,109.73,108.81,109.24
1772910000,109.24,109.24,108.28,108.48
1772913600,108.47,109.18,108.47,109.01
1772917200,109,109.2,108.72,109.14
1772920800,109.15,109.34,108.21,108.54
1772924400,108.53,108.92,108.42,108.79
1772928000,108.8,109.04,108,108.16
1772931600,108.17,108.6,108.05,108.41
1772935200,108.39,108.55,107.11,107.29
1772938800,107.3,108.21,107.21,107.82
1772942400,107.82,107.91,106.74,107.03
1772946000,107.02,108.18,106.94,107.67
1772949600,107.68,107.79,107.02,107.33
1772953200,107.32,108.04,107.29,107.88
1772956800,107.88,107.92,107.23,107.62
1772960400,107.62,108.65,107.57,108.33
1772964000,108.32,109.6,108.23,109.15
1772967600,109.14,109.18,107.58,108.16
1772971200,108.15,108.67,107.08,107.83
1772974800,107.85,107.88,106.16,106.97
1772978400,106.97,107.27,106.46,107.04
1772982000,107.03,107.07,105.95,106.46
1772985600,106.44,106.77,105.68,105.8
1772989200,105.81,106.78,105.75,106.11
1772992800,106.13,106.25,105.61,106.02
1772996400,106.02,107.63,106,107.26
1773000000,107.26,107.78,106.55,106.92
1773003600,106.93,107.08,106.08,106.47
1773007200,106.46,106.46,103.82,105.71
1773010800,105.71,106.39,105.28,105.53
1773014400,105.55,107.64,105.47,106.32
1773018000,106.31,107.08,105.88,105.94
1773021600,105.93,106.88,105.35,106.57
1773025200,106.56,108.62,106.45,107.01
1773028800,107.01,107.63,106.64,106.67
1773032400,106.68,109.08,106.56,108.7
1773036000,108.71,108.75,106.97,106.98
1773039600,106.99,107.02,105.64,106.56
1773043200,106.57,107.19,106.24,106.49
1773046800,106.49,107.95,106.02,106.46
1773050400,106.47,106.63,105.51,105.67
1773054000,105.68,106.26,104.91,106.07
1773057600,106.08,106.78,105.83,106.05
1773061200,106.06,108.05,105.95,107.28
1773064800,107.28,107.75,106.42,106.61
1773068400,106.61,106.98,104.98,105.22
1773072000,105.21,106.79,105.06,106.16
1773075600,106.17,106.53,105.34,105.92
1773079200,105.92,106.58,105.23,106.12
1773082800,106.12,109.35,105.83,107.9
1773086400,107.93,108.08,106.95,107.48
1773090000,107.47,108.36,107.45,107.98
1773093600,107.97,108.04,106.58,106.76
1773097200,106.74,107.08,106.39,106.71
1773100800,106.68,107.91,106.46,106.97
1773104400,106.96,108.1,106.61,107.73
1773108000,107.72,109.73,106.97,109.34
1773111600,109.33,109.88,107.49,107.66
1773115200,107.67,109.52,107.56,109.22
