time,open,high,low,close
1771192800,2.118,2.142,2.115,2.137
1771200000,2.138,2.149,2.127,2.132
1771207200,2.131,2.146,2.126,2.145
1771214400,2.144,2.156,2.113,2.114
1771221600,2.114,2.143,2.114,2.134
1771228800,2.134,2.16,2.132,2.153
1771236000,2.152,2.186,2.15,2.185
1771243200,2.185,2.258,2.178,2.199
1771250400,2.198,2.216,2.165,2.195
1771257600,2.196,2.247,2.196,2.218
1771264800,2.218,2.265,2.215,2.262
1771272000,2.262,2.283,2.227,2.278
1771279200,2.277,2.322,2.273,2.292
1771286400,2.294,2.309,2.269,2.271
1771293600,2.27,2.282,2.257,2.277
1771300800,2.276,2.3,2.263,2.282
1771308000,2.283,2.309,2.27,2.27
1771315200,2.271,2.274,2.243,2.258
1771322400,2.259,2.26,2.223,2.241
1771329600,2.24,2.317,2.238,2.304
1771336800,2.304,2.304,2.244,2.283
1771344000,2.283,2.332,2.24,2.249
1771351200,2.248,2.275,2.236,2.238
1771358400,2.238,2.249,2.226,2.231
1771365600,2.23,2.25,2.224,2.242
1771372800,2.241,2.252,2.212,2.235
1771380000,2.236,2.285,2.236,2.277
1771387200,2.278,2.297,2.27,2.293
1771394400,2.294,2.313,2.28,2.303
1771401600,2.303,2.338,2.291,2.317
1771408800,2.316,2.318,2.281,2.303
1771416000,2.303,2.362,2.275,2.356
1771423200,2.355,2.448,2.334,2.435
1771430400,2.435,2.512,2.425,2.45
1771437600,2.451,2.468,2.364,2.381
1771444800,2.381,2.432,2.347,2.35
1771452000,2.351,2.353,2.302,2.346
1771459200,2.346,2.355,2.315,2.331
1771466400,2.331,2.356,2.32,2.346
1771473600,2.345,2.367,2.331,2.345
1771480800,2.344,2.362,2.328,2.351
1771488000,2.351,2.351,2.304,2.318
1771495200,2.317,2.328,2.308,2.318
1771502400,2.318,2.333,2.286,2.304
1771509600,2.305,2.341,2.28,2.332
1771516800,2.331,2.333,2.277,2.291
1771524000,2.29,2.309,2.267,2.273
1771531200,2.273,2.29,2.27,2.274
1771538400,2.275,2.299,2.27,2.292
1771545600,2.291,2.306,2.283,2.284
1771552800,2.285,2.288,2.271,2.28
1771560000,2.279,2.291,2.258,2.282
1771567200,2.283,2.285,2.264,2.272
1771574400,2.272,2.329,2.27,2.328
1771581600,2.327,2.339,2.301,2.31
1771588800,2.311,2.374,2.301,2.331
1771596000,2.332,2.392,2.322,2.361
1771603200,2.362,2.389,2.341,2.378
1771610400,2.379,2.382,2.332,2.348
1771617600,2.348,2.357,2.334,2.357
1771624800,2.356,2.361,2.342,2.358
1771632000,2.358,2.384,2.343,2.379
1771639200,2.38,2.41,2.371,2.408
1771646400,2.409,2.413,2.381,2.383
1771653600,2.385,2.387,2.362,2.38
1771660800,2.379,2.398,2.371,2.383
1771668000,2.383,2.393,2.357,2.361
1771675200,2.36,2.365,2.347,2.355
1771682400,2.354,2.369,2.337,2.35
1771689600,2.351,2.352,2.325,2.327
1771696800,2.328,2.346,2.324,2.33
1771704000,2.33,2.334,2.315,2.326
1771711200,2.326,2.327,2.306,2.314
1771718400,2.314,2.319,2.297,2.306
1771725600,2.305,2.309,2.284,2.29
1771732800,2.29,2.292,2.279,2.292
1771740000,2.293,2.315,2.283,2.313
1771747200,2.314,2.315,2.285,2.304
1771754400,2.304,2.304,2.275,2.278
1771761600,2.278,2.279,2.257,2.26
1771768800,2.261,2.272,2.237,2.263
1771776000,2.263,2.27,2.252,2.255
1771783200,2.255,2.26,2.239,2.248
1771790400,2.247,2.251,2.23,2.237
1771797600,2.236,2.256,2.236,2.25
1771804800,2.25,2.253,2.166,2.171
1771812000,2.17,2.203,2.168,2.2
1771819200,2.2,2.206,2.182,2.197
1771826400,2.197,2.229,2.195,2.206
1771833600,2.205,2.237,2.192,2.233
1771840800,2.234,2.253,2.224,2.24
1771848000,2.24,2.255,2.164,2.18
1771855200,2.179,2.181,2.149,2.156
1771862400,2.156,2.156,2.117,2.139
1771869600,2.139,2.149,2.114,2.118
1771876800,2.118,2.136,2.112,2.118
1771884000,2.118,2.134,2.116,2.12
1771891200,2.12,2.148,2.097,2.104
1771898400,2.103,2.116,2.085,2.105
1771905600,2.106,2.108,2.073,2.074
1771912800,2.075,2.076,2.046,2.059
1771920000,2.059,2.07,2.04,2.043
1771927200,2.043,2.052,2.03,2.035
1771934400,2.035,2.048,2.02,2.032
1771941600,2.031,2.077,2.025,2.04
1771948800,2.04,2.055,2.027,2.028
1771956000,2.028,2.033,2,2.006
1771963200,2.007,2.008,1.986,2.002
1771970400,2.002,2.005,1.98,1.992
1771977600,1.993,2.094,1.988,2.085
1771984800,2.084,2.095,2.056,2.063
1771992000,2.064,2.068,2.034,2.039
1771999200,2.039,2.046,2.026,2.036
1772006400,2.037,2.057,2.028,2.057
1772013600,2.057,2.077,2.047,2.073
1772020800,2.072,2.096,2.061,2.074
1772028000,2.074,2.12,2.069,2.093
1772035200,2.093,2.112,2.067,2.087
1772042400,2.086,2.09,2.055,2.084
1772049600,2.085,2.09,1.976,1.988
1772056800,1.989,2.009,1.928,1.942
