time,open,high,low,close
1768435200,96951.78,97000,95777,95985.1
1768449600,95985.11,96760.15,95952.89,96630.48
1768464000,96630.47,97193.34,96289.98,96581.08
1768478400,96581.07,97165.03,95435.91,96737.04
1768492800,96737.04,97163,95183.13,95516.01
1768507200,95516.01,95871,95134.48,95604.8
1768521600,95604.81,95855.12,95321.58,95354.69
1768536000,95354.69,95816.83,95133.03,95653.16
1768550400,95653.16,95871.47,95261.43,95429.09
1768564800,95429.09,95809.08,94293.46,94585.98
1768579200,94585.99,95215.74,94508,95002.09
1768593600,95002.09,95600,94682,95550.94
1768608000,95550.94,95578.2,95200,95372.95
1768622400,95372.94,95373.64,95041.7,95101.67
1768636800,95101.67,95323.86,95021.67,95323.86
1768651200,95323.85,95639.45,95198.81,95573.64
1768665600,95573.65,95576.14,95212.25,95291.38
1768680000,95291.37,95412.86,95050,95147.77
1768694400,95147.77,95250,94876.33,95200.29
1768708800,95200.29,95260,95028.27,95028.27
1768723200,95028.27,95295.39,95021.44,95168.06
1768737600,95168.06,95376.24,94910,95119.28
1768752000,95119.27,95521.71,95073.02,95380.99
1768766400,95380.99,95531.12,93615.4,93673.14
1768780800,93673.14,93673.14,91910.2,92690.09
1768795200,92690.08,92861.41,92385.07,92841.62
1768809600,92841.62,93368.44,92702.56,93191.96
1768824000,93191.96,93226.44,92700,93068.62
1768838400,93068.62,93420,92930,93105.85
1768852800,93105.85,93342.36,92158.48,92631
1768867200,92630.99,92870,92264.7,92434.92
1768881600,92434.93,92470.37,90771.78,91177.98
1768896000,91177.99,91442.88,90693,91218.99
1768910400,91218.99,91371.11,89859.06,90684.95
1768924800,90684.95,90974.49,89292.48,89725.76
1768939200,89725.77,89854.2,87895.98,88427.66
1768953600,88427.66,89598.8,88250,89432.33
1768968000,89432.33,90120.44,89093.28,89213.95
1768982400,89213.96,89493.46,88700,88789.99
1768996800,88789.99,90574,88196.72,90288.04
1769011200,90288.04,90450,87263.53,90355.56
1769025600,90355.56,90377,89344.98,89454.73
1769040000,89454.73,90359.99,89454.72,89899.51
1769054400,89899.51,90215.79,89802,89818.79
1769068800,89818.79,90150,89760,89941.26
1769083200,89941.26,90340,88515.37,89000.01
1769097600,89000,89924.46,88676.95,89777.9
1769112000,89777.89,89946.13,89140.13,89559.67
1769126400,89559.68,89979.97,89450.48,89924.78
1769140800,89924.78,90088.94,89400,89549.45
1769155200,89549.45,89632.18,88860.44,89202.48
1769169600,89202.47,89865.53,88578.36,89761.61
1769184000,89761.61,91224.99,89489,89982.79
1769198400,89982.79,90156.06,89200.68,89600.26
1769212800,89600.26,89957.39,89424.39,89770.02
1769227200,89770.03,89853.38,89572.81,89620.1
1769241600,89620.11,89686.43,89577.97,89595.4
1769256000,89595.41,89595.41,89171.75,89275.77
1769270400,89275.77,89461.4,89162.08,89331.36
1769284800,89331.36,89489.84,89215.59,89225.34
1769299200,89225.34,89319.13,88838.72,88960.35
1769313600,88960.36,89090.13,88635.84,88659.99
1769328000,88659.99,88760,88136,88570.17
1769342400,88570.17,88971.89,88340.75,88446.5
1769356800,88446.51,88448.85,86194.85,86495.16
1769371200,86495.17,87013.79,86074.72,86670.36
1769385600,86670.36,87973.11,86509.63,87282.05
1769400000,87282.04,88074.48,87244.27,88000.64
1769414400,88000.64,88424.45,87600.69,87855
1769428800,87855.01,88860,87325.03,87641.41
1769443200,87641.41,88537.95,87035.51,88013.19
