time,open,high,low,close
1772125200,66643.56,67044.1,66600.46,66826.8
1772128800,66826.8,67373.9,66575.73,67310.53
1772132400,67310.53,67903.12,67285.99,67589.22
1772136000,67589.21,67831.11,67269.42,67414.07
1772139600,67414.07,67575.97,67150.14,67463.65
1772143200,67463.65,67630.22,67301.75,67572.3
1772146800,67572.3,67656.11,67390.65,67485.18
1772150400,67485.19,67537.84,67000,67226.5
1772154000,67226.5,67398.86,66885,67352.26
1772157600,67352.26,67546.15,67263.56,67266.58
1772161200,67266.58,67712.16,67099.71,67600.84
1772164800,67600.84,68216.8,67578.67,67747.49
1772168400,67747.49,67924,67683.3,67724.99
1772172000,67725,67823.9,67525.46,67658.14
1772175600,67658.14,67774.48,67459.3,67690.6
1772179200,67690.6,68079.83,67655.86,67926.24
1772182800,67926.25,68149.93,67284.22,67355.73
1772186400,67355.72,67416.78,66574,66604.91
1772190000,66604.9,66778.68,65960.01,66126.99
1772193600,66126.99,66217.42,65734.71,65928.01
1772197200,65928.01,66344.9,65649.34,66270.55
1772200800,66270.55,66334.87,65686.64,65887.59
1772204400,65887.59,66311.11,65845.18,66095.4
1772208000,66095.4,66121.03,65462.93,65475.21
1772211600,65475.21,65765.06,65113.72,65703.19
1772215200,65703.18,65788.07,65228.33,65314.76
1772218800,65314.76,65457.35,65172.6,65392.18
1772222400,65392.18,65666.66,65392.18,65594.67
1772226000,65594.67,65749.94,65400,65527.59
1772229600,65527.59,65673.33,64914.46,65637.99
1772233200,65638,65953.2,65551.67,65872.1
1772236800,65872.09,66025.52,65721.13,65942
1772240400,65942.01,65971.93,65743.71,65770.36
1772244000,65770.36,66018.85,65761.94,65961.13
1772247600,65961.13,65982.34,65745.39,65797.42
1772251200,65797.42,65818.44,65488,65663.2
1772254800,65663.21,65729.65,65500,65591.03
1772258400,65591.03,65591.04,63030,63216.01
1772262000,63216.01,64327.22,63038,63826
1772265600,63825.99,63877.09,63411.39,63473.28
1772269200,63473.27,64005.35,63372.1,63658.54
1772272800,63658.55,64053.93,63452.64,64010.39
1772276400,64010.38,64307.44,63791.25,63844.2
1772280000,63844.2,64082.66,63827.2,64017.19
1772283600,64017.18,65216.97,63888.89,65106.44
1772287200,65106.45,65360.51,64278.5,64435.61
1772290800,64435.62,65020.75,64200,64841.18
1772294400,64841.17,65206.25,64681.81,65094.3
1772298000,65094.29,65555,64828.03,65442.62
1772301600,65442.61,66157.61,65185.7,65911.84
1772305200,65911.83,66666.65,65602.65,66362.01
1772308800,66362.01,67151.68,66190.61,66959.62
1772312400,66959.63,67055.56,66368.42,66723.22
1772316000,66723.23,67760,66608.82,67103.64
1772319600,67103.63,67210,66733.73,66973.26
1772323200,66973.26,67121.8,66620.5,66791.29
1772326800,66791.29,67703.32,66042.72,67339.36
1772330400,67339.36,68199.99,67339.36,67620.65
1772334000,67620.65,67813.33,67400,67502.16
1772337600,67502.16,67612.14,67079.36,67346.5
1772341200,67346.5,67574.65,67200,67292.09
1772344800,67292.08,67345.8,66749.35,66926.68
1772348400,66926.69,67235.72,66784.58,67141.39
1772352000,67141.4,67292.3,66389.33,66560.14
1772355600,66560.14,66771.1,66246.95,66410.08
1772359200,66410.09,66731.47,66215.71,66467.06
1772362800,66467.07,66661.61,66372.27,66468.03
1772366400,66468.04,66550,66241.97,66296.48
1772370000,66296.48,67360.57,66132.27,66934.79
1772373600,66934.8,67320.19,66752.58,66847.8
1772377200,66847.8,67243.69,66828.6,66842.42
1772380800,66842.42,67112.37,65730.28,66135.45
1772384400,66135.45,66219.77,65699.98,65979.61
1772388000,65979.61,66657.44,65979.61,66316.83
1772391600,66316.84,66345.95,65772.29,65962.17
1772395200,65962.16,65962.16,65084.02,65300
1772398800,65300.01,65756.5,65281.83,65666.2
1772402400,65666.19,66491.43,65056,65268.71
1772406000,65268.71,66080,65125.67,65776.47
1772409600,65776.48,66796.44,65761.04,66501.52
1772413200,66501.52,67079,66358.45,66532.02
1772416800,66532.02,66609.94,65890.5,66276.77
1772420400,66276.77,67037.22,66101.07,66820.03
1772424000,66820.03,66975.74,66633.13,66862.12
