time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1754539200,114546.03,114876.79,114259,114787.99,114753.96690028303,114392.38166666696,114137.49866666639,113144.28317075496,116656.34927777783,115636.58278713137
1754553600,114787.99,116828.93,114787.98,116519.53,115342.48793352202,114503.10458333364,114228.57899999972,113193.08871613197,116699.47794444449,115656.20383630623
1754568000,116519.54,116791.11,116035.84,116689.81,115791.59528901467,114616.88583333364,114356.88233333307,113270.11111302227,116746.26383333336,115679.17286216609
1754582400,116689.8,117520,115632.31,117461.98,116348.39019267645,114748.08541666697,114531.30099999973,113380.4587102004,116794.54216666671,115718.79079856242
1754596800,117461.99,117621,117012,117472.01,116722.93012845097,114884.05250000028,114695.48966666638,113519.16288796639,116842.03677777783,115757.75122526102
1754611200,117472.02,117630,116694.28,116737.35,116727.73675230065,114974.33333333362,114799.92799999971,113671.50059686553,116888.48644444448,115779.52008692188
1754625600,116737.34,116973.3,116401,116817.19,116757.55450153377,115064.50916666696,114903.83433333303,113836.44632545406,116933.50200000004,115802.57941832363
1754640000,116817.2,116914.6,116317.08,116891.51,116802.20633435584,115164.44333333363,115004.8119999997,114011.9955034029,116977.02000000003,115826.77787569421
1754654400,116891.51,117271.73,115878.71,116207.69,116604.0342229039,115222.01375000029,115079.76633333303,114185.47931446978,117016.66650000002,115835.24258956769
1754668800,116207.7,116900,116006.14,116453.41,116553.8261486026,115291.83833333362,115151.1069999997,114356.95586965136,117042.79655555557,115848.97964313284
1754683200,116453.41,116980,116319.06,116674.74,116594.13076573507,115359.32625000032,115233.3049999997,114526.03229715044,117073.02294444446,115867.32987328545
1754697600,116674.74,116750,116299.13,116384.01,116524.09051049004,115447.95791666697,115293.75166666639,114688.02755017845,117102.52016666668,115878.8116538791
1754712000,116384.01,116980,116339.45,116756.01,116601.39700699336,115564.05416666699,115363.8529999997,114847.91349834194,117133.22022222224,115898.30495045955
1754726400,116756,117944.05,116756,117110,116770.93133799557,115659.17625000032,115451.08333333304,115010.20577159611,117167.05361111113,115925.23150711601
1754740800,117110,117238.04,116700.01,116892.47,116811.44422533039,115824.11250000032,115519.96566666638,115171.49089584684,117197.52066666668,115946.72569584676
1754755200,116892.48,116947.16,116500,116535.69,116719.52615022026,115945.74458333365,115578.56799999971,115326.341114445,117215.4866666667,115959.81379149463
1754769600,116535.68,117021.16,116359.89,116462.25,116633.76743348017,116042.93208333365,115625.47533333304,115473.92252304862,117217.99916666669,115970.97904057252
1754784000,116462.25,118500,116460.63,118500,117255.84495565345,116250.85000000033,115766.91366666638,115641.055490662,117226.98972222225,116027.17950633758
1754798400,118500,118741.77,117466.34,117808.3,117439.9966371023,116400.03291666698,115894.86699999971,115814.17517281711,117228.5531666667,116066.75996175228
1754812800,117808.29,118500,117608.01,118330.58,117736.8577580682,116571.02833333363,116011.65066666638,115997.0510314924,117231.37911111115,116117.06707371335
