time,open,high,low,close
1770861600,1964.02,1969.3,1955.92,1967.99
1770868800,1967.01,1973.84,1952.59,1969.19
1770876000,1969.18,1981.85,1965.3,1968.12
1770883200,1969.18,1988.21,1957.67,1981.36
1770890400,1981,1999.36,1976.84,1988.41
1770897600,1989.4,1995.43,1974.88,1994.61
1770904800,1990.87,1993.46,1945.52,1948.3
1770912000,1950.66,1950.66,1896.55,1909.36
1770919200,1910.14,1939.21,1902.35,1924.3
1770926400,1923.87,1931.96,1909.75,1923.07
1770933600,1922.74,1949.61,1919.98,1947.66
1770940800,1944.5,1953.74,1928.42,1942.89
1770948000,1942.95,1956.03,1941.61,1953.52
1770955200,1953.87,1954.83,1932.17,1933.49
1770962400,1933.96,1948.18,1925.51,1934.62
1770969600,1935.5,1965.46,1933.63,1961.43
1770976800,1961.43,1966.99,1945.47,1959.35
1770984000,1959.32,1978.75,1952.65,1969.82
1770991200,1969.19,2050.76,1963.08,2034.15
1770998400,2032.63,2072.35,2031.85,2059.04
1771005600,2059.12,2063.3,2052.36,2057.55
1771012800,2056.42,2059.3,2039.55,2053.34
1771020000,2052.95,2058.47,2045.68,2048.48
1771027200,2048.12,2056.25,2043.35,2053.89
1771034400,2053.19,2055.08,2047.58,2053.54
1771041600,2053.42,2057.34,2050.1,2050.82
1771048800,2050.83,2060.28,2048.47,2056.45
1771056000,2058.77,2088.44,2058.07,2077.71
1771063200,2075.72,2105.69,2072.24,2099.07
1771070400,2096.09,2099.36,2065.24,2070.74
1771077600,2072.02,2093.09,2069.57,2087.73
1771084800,2086.28,2087.21,2067.33,2080.4
1771092000,2078.78,2089.65,2078.1,2087.71
1771099200,2087.83,2097.52,2077.61,2084.45
1771106400,2085,2094.24,2083.01,2086.51
1771113600,2086.55,2088.64,2054.41,2064.1
1771120800,2064.37,2070.68,2037.45,2058.48
1771128000,2060,2094.54,2059.9,2088.05
1771135200,2087.72,2100.63,2060.12,2090.25
1771142400,2091.12,2096.3,2054.95,2067.83
1771149600,2067.18,2068.54,2055.18,2060.43
1771156800,2061.5,2067.3,1995.15,2002.12
1771164000,2004.94,2014.02,1995.76,2011.02
1771171200,2010.7,2010.7,1958.67,1971.36
1771178400,1968.79,1980.52,1930.33,1942.24
1771185600,1942.46,1963.51,1933.84,1958.43
1771192800,1958.89,1974.18,1945.73,1965.93
1771200000,1963.61,1979.25,1957.09,1963.1
