time,open,high,low,close
1769040000,4.641,4.728,4.641,4.683
1769054400,4.683,4.709,4.625,4.644
1769068800,4.645,4.689,4.618,4.618
1769083200,4.617,4.65,4.502,4.571
1769097600,4.571,4.643,4.569,4.599
1769112000,4.598,4.61,4.55,4.595
1769126400,4.595,4.66,4.585,4.644
1769140800,4.645,4.685,4.607,4.617
1769155200,4.617,4.631,4.562,4.616
1769169600,4.615,4.631,4.471,4.6
1769184000,4.6,4.709,4.553,4.581
1769198400,4.582,4.608,4.526,4.582
1769212800,4.582,4.612,4.538,4.595
1769227200,4.596,4.606,4.565,4.569
1769241600,4.57,4.58,4.541,4.571
1769256000,4.57,4.599,4.541,4.548
1769270400,4.548,4.566,4.513,4.52
1769284800,4.519,4.555,4.519,4.539
1769299200,4.539,4.567,4.491,4.499
1769313600,4.498,4.522,4.466,4.483
1769328000,4.483,4.53,4.443,4.5
1769342400,4.499,4.499,4.42,4.445
1769356800,4.444,4.444,4.183,4.207
1769371200,4.206,4.296,4.201,4.287
1769385600,4.287,4.406,4.272,4.346
1769400000,4.347,4.442,4.347,4.424
1769414400,4.424,4.469,4.367,4.389
1769428800,4.39,4.517,4.384,4.443
1769443200,4.444,4.486,4.391,4.435
1769457600,4.435,4.488,4.403,4.438
1769472000,4.439,4.478,4.423,4.451
1769486400,4.45,4.488,4.406,4.429
1769500800,4.429,4.439,4.376,4.376
1769515200,4.376,4.416,4.346,4.414
1769529600,4.413,4.486,4.345,4.437
1769544000,4.436,4.514,4.436,4.488
1769558400,4.489,4.497,4.442,4.45
1769572800,4.449,4.495,4.426,4.465
1769587200,4.466,4.531,4.423,4.527
1769601600,4.526,4.529,4.428,4.442
1769616000,4.442,4.485,4.4,4.461
1769630400,4.461,4.544,4.412,4.498
1769644800,4.499,4.511,4.336,4.349
1769659200,4.348,4.384,4.312,4.362
1769673600,4.363,4.37,4.268,4.272
1769688000,4.272,4.285,4.014,4.09
1769702400,4.089,4.193,3.992,4.068
1769716800,4.069,4.124,4.053,4.078
1769731200,4.078,4.11,3.919,3.989
1769745600,3.991,4.054,3.964,4
1769760000,4,4.073,3.974,4.059
1769774400,4.059,4.063,3.938,3.996
1769788800,3.995,4.089,3.91,4.055
1769803200,4.054,4.054,3.964,3.998
1769817600,3.999,4.008,3.969,3.988
1769832000,3.988,4.004,3.913,3.944
1769846400,3.943,3.95,3.839,3.853
1769860800,3.854,3.856,3.579,3.636
1769875200,3.637,3.697,3.24,3.479
1769889600,3.479,3.643,3.436,3.618
1769904000,3.617,3.669,3.596,3.668
1769918400,3.666,3.703,3.645,3.676
1769932800,3.677,3.692,3.586,3.613
1769947200,3.614,3.625,3.455,3.507
1769961600,3.506,3.587,3.471,3.519
1769976000,3.518,3.592,3.447,3.521
1769990400,3.522,3.637,3.433,3.581
1770004800,3.582,3.64,3.454,3.561
1770019200,3.56,3.657,3.56,3.606
1770033600,3.606,3.813,3.606,3.729
1770048000,3.729,3.73,3.669,3.686
1770062400,3.685,3.699,3.653,3.658
1770076800,3.658,3.674,3.585,3.671
1770091200,3.67,3.706,3.639,3.682
1770105600,3.681,3.704,3.619,3.656
1770120000,3.656,3.734,3.6,3.726
1770134400,3.727,3.727,3.463,3.641
1770148800,3.64,3.808,3.549,3.583
1770163200,3.583,3.668,3.569,3.654
1770177600,3.654,3.691,3.626,3.669
1770192000,3.67,3.674,3.588,3.626
1770206400,3.627,3.638,3.463,3.503
1770220800,3.504,3.602,3.435,3.596
1770235200,3.596,3.6,3.441,3.507
1770249600,3.507,3.563,3.463,3.47
1770264000,3.471,3.507,3.414,3.421
1770278400,3.422,3.49,3.293,3.341
1770292800,3.34,3.387,3.083,3.181
1770307200,3.18,3.335,3.054,3.076
1770321600,3.077,3.106,2.916,2.981
1770336000,2.981,3.087,2.65,3.013
1770350400,3.014,3.139,2.994,3.065
1770364800,3.066,3.22,3.033,3.199
1770379200,3.198,3.282,3.15,3.264
1770393600,3.265,3.387,3.251,3.284
1770408000,3.283,3.333,3.235,3.289
1770422400,3.289,3.306,3.235,3.285
1770436800,3.285,3.32,3.133,3.159
1770451200,3.158,3.189,3.142,3.174
1770465600,3.173,3.291,3.17,3.255
1770480000,3.256,3.362,3.253,3.29
1770494400,3.291,3.315,3.271,3.283
1770508800,3.284,3.293,3.239,3.241
1770523200,3.24,3.252,3.204,3.229
1770537600,3.228,3.285,3.2,3.263
1770552000,3.264,3.265,3.206,3.219
1770566400,3.218,3.231,3.139,3.215
1770580800,3.215,3.26,3.155,3.192
1770595200,3.191,3.245,3.174,3.24
1770609600,3.238,3.242,3.175,3.178
1770624000,3.177,3.181,3.053,3.098
1770638400,3.098,3.18,3.091,3.16
1770652800,3.16,3.218,3.133,3.185
1770667200,3.184,3.193,3.133,3.153
1770681600,3.153,3.175,3.08,3.111
1770696000,3.109,3.135,3.042,3.065
1770710400,3.065,3.086,3.051,3.053
1770724800,3.052,3.083,3.03,3.056
