time,open,high,low,close
1772114400,9.24,9.28,9.09,9.16
1772118000,9.16,9.17,9.02,9.12
1772121600,9.12,9.14,8.86,8.89
1772125200,8.88,8.97,8.86,8.88
1772128800,8.89,9,8.86,8.98
1772132400,8.99,9.12,8.98,9.1
1772136000,9.1,9.15,9.04,9.07
1772139600,9.07,9.1,9.04,9.08
1772143200,9.09,9.15,9.08,9.13
1772146800,9.13,9.13,9.09,9.09
1772150400,9.1,9.11,9,9.04
1772154000,9.05,9.08,9.01,9.08
1772157600,9.07,9.14,9.06,9.11
1772161200,9.12,9.2,9.09,9.19
1772164800,9.19,9.3,9.17,9.18
1772168400,9.18,9.23,9.17,9.18
1772172000,9.19,9.21,9.13,9.19
1772175600,9.19,9.2,9.12,9.17
1772179200,9.17,9.24,9.14,9.18
1772182800,9.18,9.2,9.07,9.09
1772186400,9.08,9.1,8.92,8.93
1772190000,8.93,8.96,8.81,8.85
1772193600,8.84,8.87,8.77,8.82
1772197200,8.82,8.87,8.73,8.84
1772200800,8.84,8.85,8.76,8.76
1772204400,8.77,8.84,8.75,8.82
1772208000,8.81,8.82,8.71,8.72
1772211600,8.73,8.76,8.66,8.75
1772215200,8.75,8.76,8.66,8.68
1772218800,8.68,8.7,8.64,8.68
1772222400,8.68,8.71,8.67,8.7
1772226000,8.7,8.74,8.64,8.68
1772229600,8.67,8.69,8.55,8.67
1772233200,8.68,8.72,8.66,8.71
1772236800,8.71,8.75,8.67,8.74
1772240400,8.74,8.76,8.69,8.69
1772244000,8.69,8.74,8.69,8.73
1772247600,8.74,8.75,8.66,8.68
1772251200,8.69,8.7,8.63,8.67
1772254800,8.68,8.69,8.62,8.65
1772258400,8.65,8.65,8.25,8.28
1772262000,8.29,8.44,8.22,8.34
1772265600,8.35,8.35,8.25,8.27
1772269200,8.27,8.31,8.22,8.27
1772272800,8.26,8.33,8.21,8.32
1772276400,8.32,8.35,8.26,8.27
1772280000,8.28,8.33,8.27,8.32
1772283600,8.32,8.5,8.29,8.49
1772287200,8.5,8.54,8.38,8.4
1772290800,8.4,8.47,8.35,8.44
1772294400,8.43,8.51,8.4,8.5
1772298000,8.49,8.51,8.4,8.5
1772301600,8.49,8.66,8.46,8.62
1772305200,8.62,8.74,8.56,8.69
1772308800,8.69,8.86,8.66,8.84
1772312400,8.84,8.85,8.74,8.8
1772316000,8.8,8.95,8.79,8.86
1772319600,8.86,8.87,8.81,8.85
1772323200,8.85,8.88,8.8,8.82
1772326800,8.82,9.06,8.74,9
1772330400,9,9.21,9,9.11
1772334000,9.1,9.14,9.03,9.06
1772337600,9.05,9.09,8.96,9.06
1772341200,9.06,9.1,9.04,9.04
1772344800,9.05,9.06,8.92,8.96
1772348400,8.96,9.01,8.94,8.97
1772352000,8.98,9,8.86,8.88
1772355600,8.88,8.97,8.85,8.89
1772359200,8.89,8.93,8.84,8.88
1772362800,8.88,8.91,8.86,8.88
1772366400,8.87,8.91,8.82,8.83
1772370000,8.83,9.01,8.78,8.96
1772373600,8.97,9.06,8.92,8.95
1772377200,8.94,9,8.91,8.91
1772380800,8.92,8.98,8.75,8.83
1772384400,8.82,8.84,8.71,8.78
1772388000,8.78,8.92,8.78,8.81
1772391600,8.81,8.81,8.68,8.7
1772395200,8.69,8.7,8.54,8.56
1772398800,8.56,8.64,8.55,8.62
1772402400,8.63,8.79,8.59,8.6
1772406000,8.6,8.73,8.58,8.67
1772409600,8.67,8.81,8.66,8.77
1772413200,8.77,8.89,8.76,8.78
1772416800,8.78,8.81,8.68,8.76
1772420400,8.76,8.86,8.73,8.83
1772424000,8.83,8.84,8.78,8.81
1772427600,8.81,8.86,8.75,8.8
1772431200,8.8,8.8,8.66,8.69
1772434800,8.69,8.7,8.61,8.67
1772438400,8.68,8.72,8.59,8.69
1772442000,8.69,8.78,8.68,8.68
1772445600,8.67,8.71,8.66,8.69
1772449200,8.7,8.74,8.65,8.7
1772452800,8.69,8.71,8.62,8.67
1772456400,8.66,8.7,8.59,8.6
