time,open,high,low,close
1772269200,1.049,1.059,1.038,1.041
1772272800,1.041,1.067,1.039,1.062
1772276400,1.062,1.07,1.044,1.044
1772280000,1.045,1.068,1.044,1.056
1772283600,1.056,1.073,1.044,1.073
1772287200,1.073,1.077,1.059,1.063
1772290800,1.064,1.07,1.055,1.067
1772294400,1.066,1.075,1.066,1.074
1772298000,1.075,1.079,1.064,1.079
1772301600,1.078,1.112,1.067,1.11
1772305200,1.11,1.136,1.082,1.125
1772308800,1.126,1.158,1.125,1.148
1772312400,1.148,1.169,1.136,1.154
1772316000,1.153,1.174,1.153,1.163
1772319600,1.163,1.174,1.15,1.172
1772323200,1.172,1.183,1.141,1.142
1772326800,1.142,1.175,1.128,1.166
1772330400,1.167,1.196,1.166,1.176
1772334000,1.177,1.178,1.144,1.152
1772337600,1.152,1.154,1.139,1.15
1772341200,1.151,1.172,1.151,1.171
1772344800,1.17,1.188,1.155,1.183
1772348400,1.184,1.205,1.178,1.203
1772352000,1.203,1.211,1.171,1.172
1772355600,1.172,1.184,1.161,1.164
1772359200,1.163,1.165,1.148,1.151
1772362800,1.15,1.155,1.146,1.148
1772366400,1.148,1.155,1.138,1.141
1772370000,1.141,1.173,1.137,1.167
1772373600,1.167,1.183,1.153,1.154
1772377200,1.153,1.163,1.149,1.152
1772380800,1.153,1.161,1.134,1.143
1772384400,1.143,1.147,1.131,1.139
1772388000,1.14,1.158,1.14,1.144
1772391600,1.144,1.144,1.128,1.13
1772395200,1.13,1.131,1.112,1.116
1772398800,1.116,1.137,1.116,1.132
1772402400,1.132,1.15,1.126,1.131
1772406000,1.132,1.159,1.131,1.15
1772409600,1.15,1.177,1.142,1.17
1772413200,1.17,1.197,1.161,1.173
1772416800,1.173,1.183,1.158,1.181
1772420400,1.181,1.201,1.169,1.195
1772424000,1.195,1.222,1.183,1.192
1772427600,1.192,1.222,1.174,1.2
1772431200,1.199,1.226,1.191,1.221
1772434800,1.221,1.221,1.183,1.203
1772438400,1.204,1.216,1.17,1.19
1772442000,1.19,1.196,1.177,1.183
1772445600,1.182,1.188,1.177,1.187
1772449200,1.187,1.208,1.186,1.202
1772452800,1.202,1.22,1.2,1.219
1772456400,1.219,1.239,1.214,1.221
1772460000,1.221,1.303,1.215,1.3
1772463600,1.301,1.323,1.272,1.307
1772467200,1.307,1.341,1.278,1.321
1772470800,1.32,1.337,1.297,1.314
1772474400,1.313,1.337,1.302,1.325
1772478000,1.325,1.331,1.307,1.329
1772481600,1.329,1.344,1.311,1.326
1772485200,1.326,1.389,1.314,1.372
1772488800,1.371,1.414,1.369,1.375
1772492400,1.374,1.381,1.337,1.36
1772496000,1.36,1.38,1.346,1.371
1772499600,1.372,1.407,1.366,1.398
1772503200,1.398,1.409,1.373,1.38
1772506800,1.38,1.424,1.375,1.42
1772510400,1.421,1.43,1.394,1.412
1772514000,1.412,1.455,1.359,1.366
1772517600,1.366,1.376,1.343,1.359
1772521200,1.359,1.36,1.335,1.343
1772524800,1.343,1.365,1.333,1.358
1772528400,1.358,1.412,1.344,1.345
1772532000,1.344,1.352,1.327,1.337
1772535600,1.337,1.354,1.319,1.331
1772539200,1.331,1.371,1.33,1.347
1772542800,1.347,1.354,1.338,1.341
1772546400,1.341,1.367,1.318,1.326
1772550000,1.327,1.399,1.324,1.391
1772553600,1.392,1.403,1.349,1.374
1772557200,1.374,1.396,1.366,1.388
1772560800,1.389,1.412,1.383,1.387
1772564400,1.387,1.391,1.358,1.365
1772568000,1.365,1.374,1.361,1.37
1772571600,1.371,1.372,1.341,1.346
1772575200,1.347,1.361,1.344,1.35
1772578800,1.349,1.361,1.346,1.358
1772582400,1.358,1.382,1.348,1.364
1772586000,1.364,1.392,1.363,1.382
1772589600,1.382,1.407,1.373,1.401
1772593200,1.401,1.416,1.378,1.395
1772596800,1.395,1.397,1.364,1.381
1772600400,1.38,1.383,1.367,1.376
1772604000,1.376,1.381,1.351,1.359
1772607600,1.359,1.367,1.337,1.367
1772611200,1.366,1.412,1.357,1.399
1772614800,1.398,1.411,1.383,1.392
1772618400,1.393,1.393,1.352,1.356
1772622000,1.356,1.36,1.335,1.338
1772625600,1.338,1.346,1.326,1.333
1772629200,1.333,1.342,1.329,1.34
1772632800,1.339,1.375,1.338,1.339
1772636400,1.339,1.36,1.327,1.358
1772640000,1.358,1.359,1.33,1.345
1772643600,1.345,1.35,1.318,1.322
1772647200,1.321,1.324,1.303,1.313
1772650800,1.314,1.33,1.305,1.325
1772654400,1.325,1.329,1.305,1.311
1772658000,1.311,1.319,1.307,1.317
1772661600,1.317,1.325,1.306,1.312
1772665200,1.311,1.318,1.302,1.311
1772668800,1.312,1.312,1.273,1.277
1772672400,1.277,1.28,1.245,1.246
1772676000,1.247,1.276,1.246,1.27
1772679600,1.269,1.282,1.266,1.28
1772683200,1.279,1.291,1.268,1.288
1772686800,1.287,1.294,1.275,1.284
1772690400,1.284,1.296,1.277,1.29
1772694000,1.291,1.297,1.282,1.295
1772697600,1.296,1.334,1.284,1.315
1772701200,1.315,1.326,1.292,1.296
1772704800,1.296,1.31,1.29,1.305
1772708400,1.305,1.306,1.28,1.291
1772712000,1.291,1.3,1.284,1.296
1772715600,1.296,1.296,1.283,1.286
1772719200,1.287,1.305,1.283,1.299
1772722800,1.3,1.3,1.264,1.27
1772726400,1.271,1.286,1.254,1.279
1772730000,1.279,1.286,1.249,1.254
1772733600,1.254,1.265,1.252,1.265
1772737200,1.264,1.283,1.261,1.262
1772740800,1.263,1.282,1.259,1.275
1772744400,1.275,1.288,1.27,1.278
1772748000,1.279,1.287,1.277,1.279
1772751600,1.279,1.285,1.271,1.271
1772755200,1.271,1.278,1.268,1.271
1772758800,1.272,1.3,1.261,1.291
1772762400,1.291,1.292,1.266,1.283
1772766000,1.283,1.284,1.276,1.283
1772769600,1.283,1.284,1.265,1.275
1772773200,1.274,1.278,1.267,1.269
1772776800,1.268,1.271,1.256,1.265
1772780400,1.265,1.274,1.261,1.269
1772784000,1.269,1.271,1.263,1.271
1772787600,1.271,1.273,1.257,1.262
1772791200,1.261,1.266,1.255,1.258
1772794800,1.258,1.263,1.246,1.252
1772798400,1.253,1.261,1.248,1.254
1772802000,1.253,1.271,1.238,1.241
1772805600,1.241,1.255,1.229,1.243
1772809200,1.242,1.248,1.226,1.23
1772812800,1.23,1.24,1.228,1.234
1772816400,1.234,1.237,1.216,1.218
1772820000,1.218,1.245,1.218,1.236
1772823600,1.236,1.241,1.227,1.232
1772827200,1.231,1.239,1.231,1.238
1772830800,1.238,1.243,1.232,1.236
1772834400,1.235,1.245,1.234,1.238
1772838000,1.239,1.239,1.225,1.227
1772841600,1.226,1.247,1.225,1.242
1772845200,1.241,1.246,1.226,1.237
1772848800,1.238,1.242,1.236,1.24
1772852400,1.24,1.245,1.233,1.235
1772856000,1.234,1.236,1.226,1.229
1772859600,1.23,1.232,1.22,1.222
1772863200,1.221,1.222,1.21,1.212
1772866800,1.212,1.216,1.209,1.215
1772870400,1.215,1.222,1.214,1.218
1772874000,1.219,1.222,1.214,1.219
1772877600,1.219,1.222,1.216,1.22
1772881200,1.219,1.23,1.219,1.222
1772884800,1.222,1.228,1.22,1.225
1772888400,1.225,1.235,1.224,1.23
1772892000,1.23,1.231,1.216,1.229
1772895600,1.228,1.239,1.218,1.222
1772899200,1.221,1.228,1.219,1.228
1772902800,1.227,1.233,1.226,1.232
1772906400,1.232,1.232,1.216,1.218
1772910000,1.219,1.219,1.204,1.21
1772913600,1.21,1.217,1.208,1.216
1772917200,1.217,1.22,1.212,1.216
1772920800,1.216,1.218,1.208,1.211
1772924400,1.211,1.216,1.209,1.214
1772928000,1.215,1.219,1.212,1.213
1772931600,1.212,1.216,1.209,1.212
1772935200,1.213,1.213,1.2,1.201
1772938800,1.202,1.217,1.201,1.216
1772942400,1.216,1.219,1.202,1.205
1772946000,1.205,1.215,1.204,1.211
1772949600,1.212,1.212,1.194,1.202
1772953200,1.201,1.211,1.201,1.202
1772956800,1.202,1.218,1.198,1.214
1772960400,1.213,1.234,1.213,1.231
1772964000,1.231,1.256,1.226,1.252
1772967600,1.252,1.253,1.233,1.245
1772971200,1.244,1.256,1.224,1.245
1772974800,1.246,1.246,1.221,1.238
1772978400,1.237,1.245,1.225,1.23
1772982000,1.229,1.229,1.21,1.216
1772985600,1.216,1.216,1.204,1.213
1772989200,1.213,1.224,1.212,1.224
1772992800,1.225,1.226,1.213,1.218
1772996400,1.218,1.24,1.217,1.232
1773000000,1.232,1.239,1.226,1.23
1773003600,1.23,1.231,1.215,1.223
1773007200,1.222,1.222,1.189,1.218
1773010800,1.219,1.224,1.207,1.212
1773014400,1.212,1.23,1.204,1.222
1773018000,1.221,1.234,1.213,1.226
1773021600,1.225,1.239,1.213,1.236
1773025200,1.236,1.269,1.234,1.241
1773028800,1.24,1.251,1.231,1.234
1773032400,1.234,1.257,1.228,1.251
1773036000,1.251,1.251,1.228,1.229
1773039600,1.229,1.249,1.219,1.242
1773043200,1.242,1.247,1.238,1.24
1773046800,1.241,1.259,1.234,1.249
1773050400,1.248,1.251,1.235,1.236
1773054000,1.235,1.236,1.219,1.231
1773057600,1.231,1.247,1.226,1.245
1773061200,1.245,1.268,1.239,1.264
1773064800,1.264,1.269,1.25,1.263
1773068400,1.263,1.266,1.246,1.254
1773072000,1.254,1.258,1.233,1.238
1773075600,1.239,1.247,1.238,1.245
1773079200,1.245,1.261,1.24,1.253
1773082800,1.254,1.282,1.25,1.254
1773086400,1.254,1.258,1.243,1.25
1773090000,1.25,1.254,1.245,1.249
1773093600,1.248,1.248,1.217,1.229
1773097200,1.229,1.236,1.223,1.235
1773100800,1.234,1.246,1.225,1.241
1773104400,1.24,1.245,1.23,1.24
1773108000,1.24,1.264,1.234,1.255
1773111600,1.255,1.264,1.244,1.245
1773115200,1.245,1.275,1.245,1.263
1773118800,1.263,1.27,1.261,1.263
1773122400,1.264,1.278,1.258,1.272
1773126000,1.272,1.289,1.272,1.281
1773129600,1.281,1.298,1.28,1.294
1773133200,1.294,1.318,1.294,1.313
1773136800,1.313,1.315,1.298,1.302
1773140400,1.301,1.308,1.299,1.307
1773144000,1.306,1.31,1.299,1.304
1773147600,1.304,1.312,1.293,1.303
1773151200,1.303,1.333,1.28,1.328
1773154800,1.328,1.33,1.299,1.306
1773158400,1.305,1.316,1.293,1.313
1773162000,1.312,1.319,1.3,1.302
1773165600,1.302,1.308,1.277,1.286
1773169200,1.286,1.291,1.276,1.278
1773172800,1.278,1.293,1.278,1.287
1773176400,1.287,1.289,1.272,1.277
1773180000,1.277,1.283,1.267,1.28
1773183600,1.28,1.286,1.279,1.284
1773187200,1.283,1.295,1.282,1.291
1773190800,1.291,1.303,1.278,1.28
1773194400,1.281,1.289,1.272,1.289
1773198000,1.289,1.298,1.283,1.283
1773201600,1.282,1.285,1.276,1.283
1773205200,1.283,1.286,1.268,1.274
1773208800,1.274,1.29,1.274,1.287
1773212400,1.287,1.292,1.276,1.276
1773216000,1.277,1.278,1.27,1.277
1773219600,1.277,1.278,1.269,1.27
1773223200,1.271,1.289,1.271,1.279
1773226800,1.279,1.288,1.276,1.285
1773230400,1.286,1.307,1.283,1.296
1773234000,1.296,1.323,1.295,1.304
1773237600,1.304,1.317,1.302,1.307
1773241200,1.308,1.309,1.287,1.296
1773244800,1.296,1.3,1.288,1.299
