time,open,high,low,close
1770876000,80.58,80.99,80.29,80.77
1770883200,80.77,81.9,80.32,81.79
1770890400,81.78,82.25,81.35,81.87
1770897600,81.87,82.13,80.71,81.96
1770904800,81.96,81.98,80.1,80.12
1770912000,80.13,80.22,77.51,77.9
1770919200,77.9,78.63,77.03,77.62
1770926400,77.62,77.93,76.6,77.34
1770933600,77.33,78.52,76.97,78.4
1770940800,78.39,78.84,77.53,78.6
1770948000,78.6,79.48,78.45,79.05
1770955200,79.05,79.27,78.16,78.29
1770962400,78.29,79.24,77.85,78.99
1770969600,78.99,79.97,78.86,79.88
1770976800,79.89,80.62,79.77,80.31
1770984000,80.31,80.89,79.73,80.29
1770991200,80.28,84.34,79.86,83.2
1770998400,83.2,85,82.92,84.34
1771005600,84.35,85.63,84.12,84.66
1771012800,84.65,85.19,84.17,84.86
1771020000,84.85,84.93,84.12,84.33
1771027200,84.34,85.21,84.21,84.99
1771034400,84.99,85.3,84.6,85.06
1771041600,85.07,85.1,84.61,84.63
1771048800,84.63,85.27,84.35,85.19
1771056000,85.19,86.41,85.16,86.02
1771063200,86.02,87.33,85.74,87.29
1771070400,87.29,87.32,86,86.44
1771077600,86.44,87.69,86.37,87.44
1771084800,87.44,88.47,86.99,88.05
1771092000,88.05,88.33,87.56,88.2
1771099200,88.21,88.44,87.29,88.07
1771106400,88.07,88.9,87.9,88.06
1771113600,88.06,88.72,87.6,88.29
1771120800,88.28,88.78,87.31,88.61
1771128000,88.6,90.06,88.35,89.68
1771135200,89.68,90.98,89.34,90.74
1771142400,90.74,91.26,89.22,90
1771149600,90,90.13,89.01,89.17
1771156800,89.18,89.63,86.82,86.96
1771164000,86.96,87.66,86.66,87.42
1771171200,87.41,87.88,85.71,86.42
1771178400,86.43,86.86,85.2,85.34
1771185600,85.35,86.42,84.89,86.18
1771192800,86.18,86.7,85.1,86.16
1771200000,86.15,86.63,85.37,85.77
1771207200,85.76,86.23,84.79,85.14
1771214400,85.15,85.91,84.47,84.7
1771221600,84.69,85.51,84.51,85.06
1771228800,85.07,86.26,85.04,86.01
1771236000,86,86.04,84.49,85.52
1771243200,85.52,86.93,83.85,84.17
1771250400,84.16,84.67,82.55,83.21
1771257600,83.21,84.81,83.1,84.53
1771264800,84.52,85.16,84.24,84.61
1771272000,84.62,86.11,84.5,86.02
1771279200,86.02,86.66,85.6,86.45
1771286400,86.45,87.16,86.13,86.19
1771293600,86.18,87.69,85.76,86.37
1771300800,86.37,86.67,85.45,86.22
1771308000,86.23,86.8,85.94,86.49
1771315200,86.48,86.77,85.66,85.95
1771322400,85.94,86.05,84.75,85.1
1771329600,85.11,85.58,84.39,85
1771336800,84.99,85.45,82.92,83.81
1771344000,83.8,85.46,83.13,83.71
1771351200,83.71,85.76,83.57,84.87
1771358400,84.86,85.44,84.53,85.22
1771365600,85.23,85.44,84.91,85.08
1771372800,85.09,85.49,83.92,84.25
1771380000,84.25,85.47,84.23,85.33
1771387200,85.34,85.54,84.76,84.9
1771394400,84.9,85.43,84.68,85.28
1771401600,85.28,86.09,85.23,85.32
1771408800,85.31,85.4,82.83,82.86
1771416000,82.87,83.34,82.3,82.63
1771423200,82.62,84.01,81.72,83.01
1771430400,83,83.09,82.04,82.19
1771437600,82.2,82.37,80.48,80.93
1771444800,80.93,81.64,80.85,81.28
1771452000,81.28,81.64,81.05,81.61
1771459200,81.61,82.06,81.25,81.89
